Staff_ID,Hospital_ID,Department_ID,Job_Role,Staff_Type,Years_Experience,Shift,Employment_Type,Performance_Rating,Status
S00322,H001,D0015,Procurement Officer,Non-Clinical,5,Evening,Part-Time,4.9,Active
S00323,H001,D0015,Procurement Officer,Non-Clinical,13,Morning,Full-Time,3.6,Active
S00324,H001,D0015,Pharmacist,Clinical Support,11,Morning,Full-Time,4.3,Active
S00325,H001,D0015,Pharmacist,Clinical Support,17,Evening,Full-Time,3.7,Active
S00326,H001,D0015,Nurse,Clinical,7,Evening,Part-Time,3.4,Active
S00327,H001,D0015,Nurse,Clinical,5,Morning,Part-Time,4.7,Active
S00328,H001,D0015,Doctor,Clinical,17,Night,Full-Time,4.3,Active
S00329,H001,D0015,Maintenance Engineer,Non-Clinical,20,Morning,Part-Time,3.3,Active
S00330,H001,D0015,Nurse,Clinical,20,Morning,Part-Time,3.1,Active
S00331,H001,D0015,Technician,Clinical Support,8,Evening,Part-Time,4.5,Active
S00332,H001,D0015,Maintenance Engineer,Non-Clinical,15,Morning,Full-Time,3.6,Active
S00333,H001,D0015,Maintenance Engineer,Non-Clinical,16,Morning,Part-Time,4.4,Active
S00334,H001,D0015,Administrator,Non-Clinical,15,Evening,Part-Time,4.6,Active
S00335,H001,D0015,Administrator,Non-Clinical,17,Evening,Full-Time,4.6,Active
S00336,H001,D0015,Maintenance Engineer,Non-Clinical,20,Morning,Part-Time,3.1,Active
S00337,H001,D0016,Maintenance Engineer,Non-Clinical,12,Night,Full-Time,4.4,Active
S00338,H001,D0016,Administrator,Non-Clinical,4,Evening,Full-Time,4.5,Active
S00339,H001,D0016,Technician,Clinical Support,15,Night,Full-Time,4.7,Active
S00340,H001,D0016,Doctor,Clinical,8,Evening,Part-Time,4.9,Active
S00341,H001,D0016,Pharmacist,Clinical Support,2,Evening,Part-Time,3.5,Active
S00342,H001,D0016,Doctor,Clinical,12,Morning,Full-Time,3.6,Active
S00343,H001,D0016,Doctor,Clinical,11,Morning,Full-Time,3.1,Active
S00344,H001,D0016,Maintenance Engineer,Non-Clinical,16,Night,Full-Time,4.5,Active
S00345,H001,D0016,Pharmacist,Clinical Support,15,Night,Full-Time,4.8,Active
S00346,H001,D0016,Doctor,Clinical,9,Morning,Full-Time,4.1,Active
S00347,H001,D0016,Procurement Officer,Non-Clinical,20,Night,Part-Time,3.2,Active
S00348,H001,D0016,Technician,Clinical Support,8,Evening,Full-Time,3.1,Active
S00349,H001,D0016,Pharmacist,Clinical Support,20,Evening,Full-Time,3.2,Active
S00350,H001,D0016,Pharmacist,Clinical Support,20,Night,Full-Time,4.3,Active
S00351,H001,D0016,Administrator,Non-Clinical,8,Night,Full-Time,3.6,Active
S00352,H001,D0016,Doctor,Clinical,20,Evening,Full-Time,4.1,Active
S00353,H001,D0016,Nurse,Clinical,3,Night,Part-Time,3.1,Active
S00354,H001,D0016,Administrator,Non-Clinical,18,Night,Full-Time,3.8,Active
S00355,H001,D0016,Pharmacist,Clinical Support,2,Night,Part-Time,5.0,Active
S00356,H001,D0016,Technician,Clinical Support,1,Evening,Full-Time,3.7,Active
S00357,H001,D0016,Procurement Officer,Non-Clinical,4,Night,Part-Time,3.3,Active
S00358,H001,D0016,Technician,Clinical Support,18,Evening,Full-Time,4.7,Active
S00359,H001,D0016,Procurement Officer,Non-Clinical,15,Night,Part-Time,4.3,Active
S00360,H001,D0016,Maintenance Engineer,Non-Clinical,5,Morning,Part-Time,3.1,Active
S00361,H001,D0016,Nurse,Clinical,2,Morning,Full-Time,3.6,Active
S00362,H001,D0016,Technician,Clinical Support,17,Evening,Part-Time,3.5,Active
S00363,H001,D0016,Maintenance Engineer,Non-Clinical,7,Evening,Part-Time,4.7,Active
S00364,H001,D0017,Maintenance Engineer,Non-Clinical,11,Evening,Full-Time,4.6,Active
S00365,H001,D0017,Pharmacist,Clinical Support,13,Night,Part-Time,4.8,Active
S00366,H001,D0017,Pharmacist,Clinical Support,11,Morning,Part-Time,4.4,Active
S00367,H001,D0017,Technician,Clinical Support,17,Evening,Full-Time,4.5,Active
S00368,H001,D0017,Doctor,Clinical,14,Night,Full-Time,4.1,Active
S00369,H001,D0017,Technician,Clinical Support,4,Morning,Part-Time,4.3,Active
S00370,H001,D0017,Technician,Clinical Support,15,Night,Part-Time,3.3,Active
S00371,H001,D0017,Pharmacist,Clinical Support,12,Evening,Full-Time,4.5,Active
S00372,H001,D0017,Technician,Clinical Support,20,Evening,Part-Time,4.3,Active
S00373,H001,D0017,Maintenance Engineer,Non-Clinical,2,Morning,Part-Time,3.7,Active
S00374,H001,D0017,Maintenance Engineer,Non-Clinical,6,Morning,Full-Time,4.7,Active
S00375,H001,D0017,Procurement Officer,Non-Clinical,15,Morning,Full-Time,3.1,Active
S00376,H001,D0017,Maintenance Engineer,Non-Clinical,12,Evening,Part-Time,4.9,Active
S00377,H001,D0018,Administrator,Non-Clinical,5,Night,Part-Time,4.9,Active
S00378,H001,D0018,Technician,Clinical Support,15,Morning,Full-Time,4.1,Active
S00379,H001,D0018,Pharmacist,Clinical Support,11,Night,Part-Time,3.5,Active
S00380,H001,D0018,Doctor,Clinical,1,Night,Full-Time,4.0,Active
S00381,H001,D0018,Pharmacist,Clinical Support,18,Morning,Part-Time,4.5,Active
S00382,H001,D0018,Procurement Officer,Non-Clinical,15,Morning,Part-Time,4.4,Active
S00383,H001,D0018,Pharmacist,Clinical Support,7,Morning,Full-Time,4.7,Active
S00384,H001,D0018,Pharmacist,Clinical Support,6,Night,Part-Time,5.0,Active
S00385,H001,D0018,Maintenance Engineer,Non-Clinical,11,Night,Part-Time,4.4,Active
S00386,H001,D0018,Administrator,Non-Clinical,18,Evening,Part-Time,4.7,Active
S00387,H001,D0018,Procurement Officer,Non-Clinical,6,Evening,Full-Time,3.2,Active
S00388,H001,D0018,Nurse,Clinical,5,Morning,Part-Time,3.1,Active
S00389,H001,D0018,Administrator,Non-Clinical,19,Evening,Part-Time,4.6,Active
S00390,H001,D0019,Nurse,Clinical,20,Morning,Full-Time,3.6,Active
S00391,H001,D0019,Procurement Officer,Non-Clinical,16,Night,Part-Time,4.5,Active
S00392,H001,D0019,Maintenance Engineer,Non-Clinical,19,Morning,Full-Time,4.9,Active
S00393,H001,D0019,Procurement Officer,Non-Clinical,3,Evening,Part-Time,4.4,Active
S00394,H001,D0019,Technician,Clinical Support,5,Night,Full-Time,4.5,Active
S00395,H001,D0019,Nurse,Clinical,14,Night,Full-Time,4.7,Active
S00396,H001,D0019,Administrator,Non-Clinical,5,Evening,Full-Time,3.3,Active
S00397,H001,D0019,Procurement Officer,Non-Clinical,8,Evening,Part-Time,4.7,Active
S00398,H001,D0019,Technician,Clinical Support,7,Night,Part-Time,3.3,Active
S00399,H001,D0019,Technician,Clinical Support,20,Night,Full-Time,4.0,Active
S00400,H001,D0019,Nurse,Clinical,19,Night,Full-Time,3.3,Active
S00401,H001,D0019,Administrator,Non-Clinical,20,Evening,Full-Time,4.7,Active
S00402,H001,D0019,Doctor,Clinical,3,Morning,Part-Time,4.3,Active
S00403,H001,D0019,Maintenance Engineer,Non-Clinical,19,Evening,Full-Time,4.0,Active
S00404,H001,D0019,Procurement Officer,Non-Clinical,18,Evening,Part-Time,4.0,Active
S00405,H001,D0019,Maintenance Engineer,Non-Clinical,13,Evening,Part-Time,3.1,Active
S00406,H001,D0019,Doctor,Clinical,6,Evening,Part-Time,4.0,Active
S00407,H001,D0019,Nurse,Clinical,11,Night,Full-Time,3.6,Active
S00408,H001,D0019,Procurement Officer,Non-Clinical,11,Night,Part-Time,5.0,Active
S00409,H001,D0019,Nurse,Clinical,12,Night,Full-Time,3.6,Active
S00410,H001,D0019,Pharmacist,Clinical Support,4,Evening,Part-Time,3.5,Active
S00411,H001,D0019,Doctor,Clinical,2,Evening,Part-Time,4.7,Active
S00412,H001,D0019,Pharmacist,Clinical Support,8,Morning,Part-Time,4.9,Active
S00413,H001,D0019,Procurement Officer,Non-Clinical,11,Morning,Full-Time,4.0,Active
S00414,H001,D0019,Administrator,Non-Clinical,15,Evening,Part-Time,4.0,Active
S00415,H001,D0019,Doctor,Clinical,13,Night,Part-Time,4.9,Active
S00416,H001,D0019,Nurse,Clinical,19,Evening,Full-Time,3.1,Active
S00417,H001,D0019,Pharmacist,Clinical Support,20,Night,Part-Time,3.6,Active
S00418,H001,D0019,Doctor,Clinical,4,Evening,Full-Time,4.8,Active
S00419,H001,D0020,Maintenance Engineer,Non-Clinical,13,Evening,Full-Time,3.8,Active
S00420,H001,D0020,Administrator,Non-Clinical,18,Morning,Part-Time,4.1,Active
S00421,H001,D0020,Doctor,Clinical,13,Night,Part-Time,4.5,Active
S00422,H001,D0020,Technician,Clinical Support,20,Night,Full-Time,3.3,Active
S00423,H001,D0020,Doctor,Clinical,13,Evening,Part-Time,4.1,Active
S00424,H001,D0020,Technician,Clinical Support,5,Morning,Part-Time,4.0,Active
S00425,H001,D0020,Doctor,Clinical,2,Morning,Part-Time,4.6,Active
S00426,H001,D0020,Administrator,Non-Clinical,15,Morning,Full-Time,3.7,Active
S00427,H001,D0020,Administrator,Non-Clinical,11,Morning,Part-Time,5.0,Active
S00428,H001,D0020,Procurement Officer,Non-Clinical,10,Night,Part-Time,4.0,Active
S00429,H001,D0020,Administrator,Non-Clinical,18,Evening,Part-Time,3.9,Active
S00430,H001,D0020,Doctor,Clinical,12,Evening,Full-Time,5.0,Active
S00431,H001,D0020,Administrator,Non-Clinical,10,Night,Full-Time,4.2,Active
S00432,H001,D0020,Technician,Clinical Support,19,Night,Full-Time,4.4,Active
S00433,H001,D0020,Administrator,Non-Clinical,16,Morning,Part-Time,3.3,Active
S00434,H001,D0020,Procurement Officer,Non-Clinical,8,Morning,Full-Time,3.4,Active
S00435,H001,D0020,Pharmacist,Clinical Support,11,Evening,Full-Time,3.8,Active
S00436,H001,D0020,Nurse,Clinical,14,Night,Part-Time,4.7,Active
S00437,H001,D0020,Procurement Officer,Non-Clinical,2,Night,Full-Time,4.0,Active
S00438,H001,D0020,Administrator,Non-Clinical,11,Night,Part-Time,4.1,Active
S00439,H001,D0020,Technician,Clinical Support,6,Evening,Part-Time,4.1,Active
S00440,H001,D0020,Procurement Officer,Non-Clinical,9,Night,Part-Time,3.4,Active
S00441,H001,D0020,Nurse,Clinical,9,Night,Part-Time,3.4,Active
S00442,H002,D0021,Maintenance Engineer,Non-Clinical,10,Night,Full-Time,4.4,Active
S00443,H002,D0021,Pharmacist,Clinical Support,11,Evening,Part-Time,4.1,Active
S00444,H002,D0021,Maintenance Engineer,Non-Clinical,9,Evening,Full-Time,4.1,Active
S00445,H002,D0021,Administrator,Non-Clinical,13,Evening,Part-Time,4.9,Active
S00446,H002,D0021,Maintenance Engineer,Non-Clinical,5,Evening,Full-Time,3.6,Active
S00447,H002,D0021,Procurement Officer,Non-Clinical,3,Evening,Part-Time,4.3,Active
S00448,H002,D0021,Procurement Officer,Non-Clinical,16,Morning,Full-Time,4.7,Active
S00449,H002,D0021,Technician,Clinical Support,18,Night,Part-Time,3.3,Active
S00450,H002,D0021,Administrator,Non-Clinical,19,Morning,Full-Time,3.1,Active
S00451,H002,D0021,Administrator,Non-Clinical,8,Night,Full-Time,3.1,Active
S00452,H002,D0021,Pharmacist,Clinical Support,11,Night,Part-Time,3.2,Active
S00453,H002,D0021,Maintenance Engineer,Non-Clinical,5,Morning,Full-Time,3.8,Active
S00454,H002,D0021,Pharmacist,Clinical Support,16,Night,Full-Time,4.5,Active
S00455,H002,D0021,Technician,Clinical Support,11,Evening,Full-Time,4.8,Active
S00456,H002,D0021,Doctor,Clinical,19,Morning,Full-Time,4.8,Active
S00457,H002,D0021,Nurse,Clinical,14,Morning,Full-Time,5.0,Active
S00458,H002,D0021,Pharmacist,Clinical Support,16,Morning,Part-Time,4.8,Active
S00459,H002,D0021,Doctor,Clinical,10,Night,Full-Time,4.9,Active
S00460,H002,D0021,Technician,Clinical Support,10,Evening,Part-Time,4.8,Active
S00461,H002,D0021,Nurse,Clinical,17,Evening,Part-Time,3.4,Active
S00462,H002,D0021,Doctor,Clinical,11,Morning,Part-Time,4.3,Active
S00463,H002,D0022,Doctor,Clinical,11,Evening,Full-Time,3.4,Active
S00464,H002,D0022,Maintenance Engineer,Non-Clinical,13,Evening,Part-Time,3.2,Active
S00465,H002,D0022,Procurement Officer,Non-Clinical,4,Morning,Full-Time,4.0,Active
S00466,H002,D0022,Nurse,Clinical,1,Evening,Part-Time,3.5,Active
S00467,H002,D0022,Maintenance Engineer,Non-Clinical,9,Evening,Part-Time,4.2,Active
S00468,H002,D0022,Administrator,Non-Clinical,1,Evening,Part-Time,4.4,Active
S00469,H002,D0022,Doctor,Clinical,4,Evening,Part-Time,3.3,Active
S00470,H002,D0022,Procurement Officer,Non-Clinical,17,Night,Part-Time,4.4,Active
S00471,H002,D0022,Procurement Officer,Non-Clinical,10,Evening,Full-Time,3.4,Active
S00472,H002,D0022,Nurse,Clinical,16,Morning,Part-Time,4.5,Active
S00473,H002,D0022,Administrator,Non-Clinical,12,Evening,Part-Time,4.5,Active
S00474,H002,D0022,Maintenance Engineer,Non-Clinical,7,Morning,Full-Time,4.1,Active
S00475,H002,D0022,Administrator,Non-Clinical,12,Morning,Full-Time,3.1,Active
S00476,H002,D0022,Administrator,Non-Clinical,17,Morning,Full-Time,3.3,Active
S00477,H002,D0022,Maintenance Engineer,Non-Clinical,17,Evening,Full-Time,4.4,Active
S00478,H002,D0022,Procurement Officer,Non-Clinical,19,Evening,Full-Time,4.8,Active
S00479,H002,D0022,Pharmacist,Clinical Support,2,Evening,Full-Time,4.0,Active
S00480,H002,D0023,Administrator,Non-Clinical,2,Night,Part-Time,4.3,Active
S00481,H002,D0023,Technician,Clinical Support,1,Evening,Part-Time,4.6,Active
S00482,H002,D0023,Procurement Officer,Non-Clinical,7,Night,Full-Time,3.1,Active
S00483,H002,D0023,Technician,Clinical Support,3,Night,Full-Time,4.9,Active
S00484,H002,D0023,Doctor,Clinical,16,Morning,Part-Time,3.8,Active
S00485,H002,D0023,Maintenance Engineer,Non-Clinical,5,Night,Part-Time,3.7,Active
S00486,H002,D0023,Pharmacist,Clinical Support,15,Evening,Part-Time,3.2,Active
S00487,H002,D0023,Procurement Officer,Non-Clinical,18,Morning,Part-Time,3.2,Active
S00488,H002,D0023,Administrator,Non-Clinical,13,Night,Full-Time,4.5,Active
S00489,H002,D0023,Nurse,Clinical,1,Morning,Part-Time,3.9,Active
S00490,H002,D0023,Procurement Officer,Non-Clinical,18,Evening,Part-Time,4.6,Active
S00491,H002,D0023,Nurse,Clinical,15,Evening,Full-Time,3.6,Active
S00492,H002,D0023,Procurement Officer,Non-Clinical,4,Morning,Part-Time,4.2,Active
S00493,H002,D0023,Doctor,Clinical,8,Morning,Full-Time,3.2,Active
S00494,H002,D0023,Doctor,Clinical,15,Night,Full-Time,3.5,Active
S00495,H002,D0023,Doctor,Clinical,13,Evening,Full-Time,4.1,Active
S00496,H002,D0023,Maintenance Engineer,Non-Clinical,2,Morning,Part-Time,3.5,Active
S00497,H002,D0023,Procurement Officer,Non-Clinical,19,Evening,Part-Time,3.5,Active
S00498,H002,D0023,Nurse,Clinical,17,Morning,Part-Time,3.6,Active
S00499,H002,D0023,Doctor,Clinical,18,Night,Full-Time,4.3,Active
S00500,H002,D0023,Pharmacist,Clinical Support,18,Evening,Full-Time,4.9,Active
S00501,H002,D0023,Procurement Officer,Non-Clinical,13,Night,Part-Time,4.4,Active
S00502,H002,D0023,Pharmacist,Clinical Support,5,Evening,Part-Time,3.4,Active
S00503,H002,D0023,Administrator,Non-Clinical,16,Morning,Full-Time,3.6,Active
S00504,H002,D0023,Procurement Officer,Non-Clinical,5,Evening,Full-Time,4.1,Active
S00505,H002,D0023,Pharmacist,Clinical Support,18,Night,Full-Time,3.8,Active
S00506,H002,D0024,Nurse,Clinical,11,Night,Full-Time,4.8,Active
S00507,H002,D0024,Maintenance Engineer,Non-Clinical,12,Morning,Full-Time,3.1,Active
S00508,H002,D0024,Pharmacist,Clinical Support,20,Night,Full-Time,4.7,Active
S00509,H002,D0024,Nurse,Clinical,19,Night,Full-Time,4.0,Active
S00510,H002,D0024,Maintenance Engineer,Non-Clinical,11,Evening,Full-Time,3.4,Active
S00511,H002,D0024,Nurse,Clinical,4,Night,Part-Time,4.8,Active
S00512,H002,D0024,Procurement Officer,Non-Clinical,20,Night,Full-Time,3.8,Active
S00513,H002,D0024,Nurse,Clinical,18,Evening,Part-Time,3.8,Active
S00514,H002,D0024,Administrator,Non-Clinical,12,Evening,Part-Time,3.7,Active
S00515,H002,D0024,Pharmacist,Clinical Support,15,Morning,Part-Time,4.5,Active
S00516,H002,D0024,Technician,Clinical Support,7,Evening,Part-Time,3.8,Active
S00517,H002,D0024,Administrator,Non-Clinical,8,Night,Full-Time,3.0,Active
S00518,H002,D0024,Administrator,Non-Clinical,19,Night,Part-Time,3.6,Active
S00519,H002,D0024,Nurse,Clinical,11,Morning,Part-Time,4.1,Active
S00520,H002,D0024,Nurse,Clinical,16,Night,Part-Time,3.5,Active
S00521,H002,D0024,Maintenance Engineer,Non-Clinical,16,Night,Part-Time,3.9,Active
S00522,H002,D0024,Procurement Officer,Non-Clinical,12,Morning,Full-Time,4.4,Active
S00523,H002,D0024,Pharmacist,Clinical Support,6,Night,Full-Time,4.0,Active
S00524,H002,D0024,Maintenance Engineer,Non-Clinical,3,Night,Full-Time,4.5,Active
S00525,H002,D0024,Pharmacist,Clinical Support,5,Night,Full-Time,3.1,Active
S00526,H002,D0025,Doctor,Clinical,7,Night,Part-Time,3.7,Active
S00527,H002,D0025,Administrator,Non-Clinical,20,Evening,Part-Time,3.0,Active
S00528,H002,D0025,Administrator,Non-Clinical,18,Evening,Full-Time,3.0,Active
S00529,H002,D0025,Procurement Officer,Non-Clinical,9,Night,Part-Time,3.0,Active
S00530,H002,D0025,Maintenance Engineer,Non-Clinical,14,Morning,Full-Time,4.8,Active
S00531,H002,D0025,Administrator,Non-Clinical,5,Morning,Full-Time,4.2,Active
S00532,H002,D0025,Technician,Clinical Support,12,Evening,Part-Time,3.2,Active
S00533,H002,D0025,Pharmacist,Clinical Support,15,Night,Full-Time,5.0,Active
S00534,H002,D0025,Nurse,Clinical,10,Night,Full-Time,4.3,Active
S00535,H002,D0025,Maintenance Engineer,Non-Clinical,2,Morning,Part-Time,3.8,Active
S00536,H002,D0025,Administrator,Non-Clinical,16,Morning,Full-Time,4.4,Active
S00537,H002,D0025,Doctor,Clinical,16,Evening,Part-Time,4.1,Active
S00538,H002,D0025,Maintenance Engineer,Non-Clinical,4,Night,Full-Time,3.5,Active
S00539,H002,D0025,Maintenance Engineer,Non-Clinical,19,Evening,Part-Time,3.1,Active
S00540,H002,D0025,Doctor,Clinical,9,Night,Full-Time,3.4,Active
S00541,H002,D0025,Maintenance Engineer,Non-Clinical,11,Morning,Full-Time,4.2,Active
S00542,H002,D0026,Doctor,Clinical,10,Morning,Full-Time,4.1,Active
S00543,H002,D0026,Maintenance Engineer,Non-Clinical,13,Night,Part-Time,3.8,Active
S00544,H002,D0026,Procurement Officer,Non-Clinical,5,Night,Full-Time,4.0,Active
S00545,H002,D0026,Technician,Clinical Support,2,Morning,Part-Time,3.5,Active
S00546,H002,D0026,Doctor,Clinical,11,Night,Part-Time,4.9,Active
S00547,H002,D0026,Technician,Clinical Support,1,Night,Part-Time,4.6,Active
S00548,H002,D0026,Pharmacist,Clinical Support,16,Morning,Part-Time,4.1,Active
S00549,H002,D0026,Pharmacist,Clinical Support,14,Morning,Part-Time,3.2,Active
S00550,H002,D0026,Administrator,Non-Clinical,10,Morning,Full-Time,3.2,Active
S00551,H002,D0026,Nurse,Clinical,13,Night,Full-Time,4.5,Active
S00552,H002,D0026,Technician,Clinical Support,12,Morning,Full-Time,3.0,Active
S00553,H002,D0026,Technician,Clinical Support,15,Evening,Part-Time,3.2,Active
S00554,H002,D0026,Doctor,Clinical,6,Evening,Part-Time,4.1,Active
S00555,H002,D0026,Administrator,Non-Clinical,14,Morning,Full-Time,3.2,Active
S00556,H002,D0026,Administrator,Non-Clinical,3,Night,Part-Time,4.7,Active
S00557,H002,D0026,Doctor,Clinical,10,Evening,Part-Time,4.6,Active
S00558,H002,D0026,Procurement Officer,Non-Clinical,18,Morning,Full-Time,4.4,Active
S00559,H002,D0026,Nurse,Clinical,5,Evening,Part-Time,3.5,Active
S00560,H002,D0026,Nurse,Clinical,3,Morning,Part-Time,3.6,Active
S00561,H002,D0026,Technician,Clinical Support,16,Morning,Part-Time,3.5,Active
S00562,H002,D0026,Nurse,Clinical,16,Night,Full-Time,3.9,Active
S00563,H002,D0026,Nurse,Clinical,10,Morning,Part-Time,3.7,Active
S00564,H002,D0026,Administrator,Non-Clinical,13,Evening,Part-Time,3.7,Active
S00565,H002,D0026,Maintenance Engineer,Non-Clinical,20,Morning,Part-Time,3.6,Active
S00566,H002,D0027,Pharmacist,Clinical Support,11,Morning,Part-Time,4.9,Active
S00567,H002,D0027,Technician,Clinical Support,16,Night,Full-Time,3.7,Active
S00568,H002,D0027,Technician,Clinical Support,13,Evening,Full-Time,4.9,Active
S00569,H002,D0027,Nurse,Clinical,19,Night,Full-Time,4.4,Active
S00570,H002,D0027,Administrator,Non-Clinical,1,Night,Part-Time,4.9,Active
S00571,H002,D0027,Nurse,Clinical,15,Evening,Full-Time,4.6,Active
S00572,H002,D0027,Maintenance Engineer,Non-Clinical,14,Night,Part-Time,3.3,Active
S00573,H002,D0027,Technician,Clinical Support,8,Evening,Full-Time,4.4,Active
S00574,H002,D0027,Maintenance Engineer,Non-Clinical,13,Morning,Part-Time,5.0,Active
S00575,H002,D0027,Pharmacist,Clinical Support,19,Evening,Part-Time,4.1,Active
S00576,H002,D0027,Maintenance Engineer,Non-Clinical,12,Night,Full-Time,3.2,Active
S00577,H002,D0027,Nurse,Clinical,12,Morning,Full-Time,4.1,Active
S00578,H002,D0027,Procurement Officer,Non-Clinical,13,Evening,Part-Time,3.2,Active
S00579,H002,D0027,Doctor,Clinical,9,Morning,Full-Time,3.9,Active
S00580,H002,D0027,Pharmacist,Clinical Support,15,Night,Full-Time,3.7,Active
S00581,H002,D0027,Doctor,Clinical,16,Morning,Part-Time,3.8,Active
S00582,H002,D0027,Doctor,Clinical,4,Night,Full-Time,3.7,Active
S00583,H002,D0027,Technician,Clinical Support,15,Morning,Part-Time,3.7,Active
S00584,H002,D0028,Pharmacist,Clinical Support,15,Evening,Full-Time,3.6,Active
S00585,H002,D0028,Maintenance Engineer,Non-Clinical,4,Morning,Part-Time,4.3,Active
S00586,H002,D0028,Procurement Officer,Non-Clinical,6,Night,Full-Time,4.0,Active
S00587,H002,D0028,Administrator,Non-Clinical,6,Evening,Part-Time,4.9,Active
S00588,H002,D0028,Nurse,Clinical,13,Night,Full-Time,3.4,Active
S00589,H002,D0028,Procurement Officer,Non-Clinical,14,Evening,Full-Time,4.5,Active
S00590,H002,D0028,Nurse,Clinical,15,Night,Part-Time,3.8,Active
S00591,H002,D0028,Procurement Officer,Non-Clinical,7,Morning,Part-Time,4.5,Active
S00592,H002,D0028,Maintenance Engineer,Non-Clinical,3,Night,Full-Time,4.6,Active
S00593,H002,D0028,Administrator,Non-Clinical,6,Evening,Part-Time,3.4,Active
S00594,H002,D0028,Doctor,Clinical,9,Night,Part-Time,4.1,Active
S00595,H002,D0028,Procurement Officer,Non-Clinical,11,Night,Part-Time,4.2,Active
S00596,H002,D0028,Administrator,Non-Clinical,4,Evening,Part-Time,4.7,Active
S00597,H002,D0028,Administrator,Non-Clinical,6,Night,Part-Time,4.8,Active
S00598,H002,D0028,Administrator,Non-Clinical,3,Night,Full-Time,3.6,Active
S00599,H002,D0029,Technician,Clinical Support,4,Morning,Part-Time,4.4,Active
S00600,H002,D0029,Administrator,Non-Clinical,13,Evening,Full-Time,4.1,Active
S00601,H002,D0029,Pharmacist,Clinical Support,6,Evening,Full-Time,4.1,Active
S00602,H002,D0029,Pharmacist,Clinical Support,10,Morning,Full-Time,3.6,Active
S00603,H002,D0029,Pharmacist,Clinical Support,20,Morning,Part-Time,4.9,Active
S00604,H002,D0029,Pharmacist,Clinical Support,5,Morning,Part-Time,4.9,Active
S00605,H002,D0029,Administrator,Non-Clinical,16,Evening,Part-Time,3.8,Active
S00606,H002,D0029,Maintenance Engineer,Non-Clinical,15,Evening,Full-Time,3.2,Active
S00607,H002,D0029,Doctor,Clinical,8,Evening,Full-Time,3.5,Active
S00608,H002,D0029,Administrator,Non-Clinical,10,Morning,Part-Time,4.1,Active
S00609,H002,D0029,Maintenance Engineer,Non-Clinical,16,Night,Full-Time,4.1,Active
S00610,H002,D0029,Technician,Clinical Support,18,Evening,Full-Time,4.5,Active
S00611,H002,D0029,Pharmacist,Clinical Support,18,Morning,Part-Time,3.2,Active
S00612,H002,D0029,Maintenance Engineer,Non-Clinical,8,Evening,Full-Time,3.9,Active
S00613,H002,D0029,Technician,Clinical Support,3,Evening,Full-Time,4.6,Active
S00614,H002,D0029,Nurse,Clinical,7,Night,Part-Time,4.7,Active
S00615,H002,D0029,Administrator,Non-Clinical,14,Morning,Full-Time,4.6,Active
S00616,H002,D0029,Maintenance Engineer,Non-Clinical,7,Morning,Part-Time,4.1,Active
S00617,H002,D0029,Administrator,Non-Clinical,18,Morning,Part-Time,5.0,Active
S00618,H002,D0030,Technician,Clinical Support,19,Evening,Full-Time,3.3,Active
S00619,H002,D0030,Maintenance Engineer,Non-Clinical,14,Morning,Part-Time,4.7,Active
S00620,H002,D0030,Nurse,Clinical,5,Morning,Full-Time,4.4,Active
S00621,H002,D0030,Maintenance Engineer,Non-Clinical,8,Night,Part-Time,4.0,Active
S00622,H002,D0030,Administrator,Non-Clinical,9,Night,Part-Time,3.8,Active
S00623,H002,D0030,Doctor,Clinical,3,Evening,Part-Time,4.4,Active
S00624,H002,D0030,Technician,Clinical Support,15,Evening,Part-Time,4.2,Active
S00625,H002,D0030,Maintenance Engineer,Non-Clinical,3,Night,Part-Time,4.3,Active
S00626,H002,D0030,Procurement Officer,Non-Clinical,12,Morning,Part-Time,3.4,Active
S00627,H002,D0030,Pharmacist,Clinical Support,7,Evening,Part-Time,3.6,Active
S00628,H002,D0030,Technician,Clinical Support,11,Night,Full-Time,4.1,Active
S00629,H002,D0030,Pharmacist,Clinical Support,11,Night,Full-Time,3.1,Active
S00630,H002,D0030,Procurement Officer,Non-Clinical,15,Morning,Full-Time,4.9,Active
S00631,H002,D0030,Nurse,Clinical,15,Evening,Full-Time,5.0,Active
S00632,H002,D0030,Pharmacist,Clinical Support,7,Night,Full-Time,4.8,Active
S00633,H002,D0030,Technician,Clinical Support,6,Evening,Full-Time,4.3,Active
S00634,H002,D0030,Technician,Clinical Support,3,Evening,Full-Time,3.1,Active
S00635,H002,D0030,Procurement Officer,Non-Clinical,10,Night,Full-Time,3.9,Active
S00636,H002,D0030,Doctor,Clinical,4,Morning,Full-Time,4.0,Active
S00637,H002,D0030,Nurse,Clinical,19,Morning,Part-Time,3.0,Active
S00638,H002,D0030,Procurement Officer,Non-Clinical,11,Morning,Part-Time,4.4,Active
S00639,H002,D0031,Doctor,Clinical,8,Evening,Full-Time,4.5,Active
S00640,H002,D0031,Doctor,Clinical,4,Evening,Part-Time,4.8,Active
S00641,H002,D0031,Nurse,Clinical,13,Morning,Full-Time,3.1,Active
S00642,H002,D0031,Administrator,Non-Clinical,1,Night,Full-Time,3.9,Active
S00643,H002,D0031,Procurement Officer,Non-Clinical,7,Night,Full-Time,4.8,Active
S00644,H002,D0031,Administrator,Non-Clinical,15,Morning,Full-Time,4.8,Active
S00645,H002,D0031,Nurse,Clinical,4,Night,Part-Time,3.7,Active
