Vendor_Product_ID,Vendor_ID,Product_ID,Negotiated_Unit_Cost,Minimum_Order_Quantity,Lead_Time_Days,Preferred_Supplier,Status
VP00519,V003,P0302,29.0,24,29,No,Active
VP00520,V004,P0302,28.25,20,22,Yes,Active
VP00521,V007,P0303,510527.41,1,25,Yes,Active
VP00522,V006,P0303,491270.84,1,23,No,Active
VP00523,V001,P0304,251.14,22,14,No,Active
VP00524,V002,P0304,246.12,23,10,Yes,Active
VP00525,V005,P0305,1214467.32,1,11,Yes,Active
VP00526,V006,P0306,151217.4,1,26,Yes,Active
VP00527,V005,P0306,163911.49,1,30,No,Active
VP00528,V007,P0307,1168387.79,1,13,No,Active
VP00529,V008,P0307,1253490.41,1,28,No,Active
VP00530,V005,P0307,1236881.52,1,19,Yes,Active
VP00531,V001,P0308,572.92,11,24,No,Active
VP00532,V002,P0308,524.34,25,30,Yes,Active
VP00533,V002,P0309,750.41,7,14,No,Active
VP00534,V001,P0309,710.83,10,14,Yes,Active
VP00535,V006,P0310,299619.57,1,22,Yes,Active
VP00536,V007,P0310,282029.61,1,18,No,Active
VP00537,V002,P0311,191.03,19,28,No,Active
VP00538,V010,P0311,199.22,29,19,Yes,Active
VP00539,V003,P0312,50.16,23,9,No,Active
VP00540,V004,P0312,52.84,15,27,Yes,Active
VP00541,V007,P0313,248.13,27,24,No,Active
VP00542,V002,P0313,250.54,18,29,Yes,Active
VP00543,V004,P0314,48.06,19,14,Yes,Active
VP00544,V005,P0314,45.2,22,23,No,Active
VP00545,V003,P0315,54.6,14,17,Yes,Active
VP00546,V002,P0316,366.47,5,7,Yes,Active
VP00547,V001,P0316,382.83,30,12,No,Active
VP00548,V007,P0317,256.89,7,16,No,Active
VP00549,V005,P0317,250.36,21,8,Yes,Active
VP00550,V005,P0318,7988733.18,1,30,Yes,Active
VP00551,V009,P0319,68.47,6,8,Yes,Active
VP00552,V006,P0320,51.11,28,16,Yes,Active
VP00553,V012,P0320,50.65,1,16,No,Active
VP00554,V006,P0321,18075296.28,1,17,Yes,Active
VP00555,V008,P0321,16310573.64,1,27,No,Active
VP00556,V007,P0321,17019700.99,1,22,No,Active
VP00557,V007,P0322,12276940.4,1,10,Yes,Active
VP00558,V002,P0323,257.07,23,12,No,Active
VP00559,V001,P0323,231.25,11,16,Yes,Active
VP00560,V002,P0324,415.52,28,27,Yes,Active
VP00561,V001,P0324,466.84,27,20,No,Active
VP00562,V001,P0325,291.99,4,12,Yes,Active
VP00563,V002,P0325,319.94,16,17,No,Active
VP00564,V011,P0326,55.97,15,15,Yes,Active
VP00565,V009,P0327,17.15,12,29,Yes,Active
VP00566,V002,P0327,17.08,22,10,No,Active
VP00567,V003,P0328,29.32,17,29,Yes,Active
VP00568,V004,P0328,31.08,23,10,No,Active
VP00569,V002,P0329,1531.12,8,11,No,Active
VP00570,V001,P0329,1497.86,15,30,Yes,Active
VP00571,V001,P0330,299.59,30,22,No,Active
VP00572,V002,P0330,302.2,26,28,Yes,Active
VP00573,V003,P0331,10.82,20,9,Yes,Active
VP00574,V004,P0332,37.8,19,10,No,Active
VP00575,V003,P0332,37.7,18,23,Yes,Active
VP00576,V008,P0333,978686.75,1,23,Yes,Active
VP00577,V005,P0334,55.3,16,9,Yes,Active
VP00578,V001,P0334,56.87,15,8,No,Active
VP00579,V008,P0335,1382311.31,1,8,No,Active
VP00580,V005,P0335,1405336.51,1,28,Yes,Active
VP00581,V009,P0336,56.41,27,7,Yes,Active
VP00582,V006,P0336,59.66,19,9,No,Active
VP00583,V010,P0337,10.26,18,8,Yes,Active
VP00584,V003,P0338,33.31,6,11,Yes,Active
VP00585,V007,P0339,95744.15,1,18,No,Active
VP00586,V008,P0339,96163.98,1,19,No,Active
VP00587,V006,P0339,88303.97,1,19,Yes,Active
VP00588,V007,P0340,171341.58,1,18,Yes,Active
VP00589,V006,P0340,156840.33,1,24,No,Active
VP00590,V005,P0341,18375992.32,1,14,Yes,Active
VP00591,V006,P0341,18683374.02,1,7,No,Active
VP00592,V007,P0342,100.31,27,14,No,Active
VP00593,V004,P0342,95.7,12,11,Yes,Active
VP00594,V009,P0343,159.34,22,20,Yes,Active
VP00595,V004,P0344,5.66,4,26,Yes,Active
VP00596,V003,P0344,5.5,20,28,No,Active
VP00597,V011,P0345,15.99,13,21,Yes,Active
VP00598,V003,P0345,14.73,7,8,No,Active
VP00599,V008,P0346,289683.11,1,30,Yes,Active
VP00600,V005,P0347,325088.96,1,28,No,Active
VP00601,V007,P0347,336529.58,1,14,No,Active
VP00602,V008,P0347,309720.64,1,11,Yes,Active
VP00603,V005,P0348,92635.01,1,15,Yes,Active
VP00604,V006,P0348,87262.95,1,25,No,Active
VP00605,V007,P0348,99737.08,1,12,No,Active
VP00606,V009,P0349,394.27,2,18,Yes,Active
VP00607,V003,P0350,12.42,11,29,No,Active
VP00608,V004,P0350,11.71,5,16,Yes,Active
VP00609,V004,P0351,115.93,8,16,No,Active
VP00610,V009,P0351,128.03,5,21,Yes,Active
VP00611,V009,P0352,264.47,18,23,Yes,Active
VP00612,V007,P0353,168109.33,1,17,Yes,Active
VP00613,V005,P0354,731870.31,1,9,No,Active
VP00614,V006,P0354,696871.38,1,13,Yes,Active
VP00615,V007,P0354,642479.54,1,19,No,Active
VP00616,V010,P0355,21.46,7,25,Yes,Active
VP00617,V003,P0356,121.36,28,17,Yes,Active
VP00618,V004,P0356,117.88,30,7,No,Active
VP00619,V004,P0357,18.61,25,22,Yes,Active
VP00620,V004,P0358,19.65,8,24,Yes,Active
VP00621,V009,P0359,263.06,21,18,Yes,Active
VP00622,V004,P0360,24.62,16,21,No,Active
VP00623,V003,P0360,22.97,24,22,Yes,Active
VP00624,V006,P0361,203336.59,1,8,No,Active
VP00625,V007,P0361,211824.36,1,14,Yes,Active
VP00626,V010,P0362,18.51,30,25,Yes,Active
VP00627,V004,P0363,68.91,7,17,No,Active
VP00628,V003,P0363,68.16,19,14,Yes,Active
VP00629,V008,P0364,134.34,27,22,No,Active
VP00630,V011,P0364,150.42,21,30,Yes,Active
VP00631,V006,P0365,13257784.06,1,18,Yes,Active
VP00632,V008,P0365,12090361.73,1,30,No,Active
VP00633,V010,P0366,9.45,18,27,Yes,Active
VP00634,V008,P0367,22.51,3,28,Yes,Active
VP00635,V003,P0368,52.71,21,14,Yes,Active
VP00636,V003,P0369,194.25,17,21,Yes,Active
VP00637,V005,P0370,149339.63,1,7,No,Active
VP00638,V007,P0370,133931.7,1,24,Yes,Active
VP00639,V006,P0371,1280561.95,1,15,Yes,Active
VP00640,V008,P0371,1281868.21,1,16,No,Active
VP00641,V003,P0372,16.19,30,12,Yes,Active
VP00642,V002,P0373,377.15,20,23,Yes,Active
VP00643,V005,P0374,923366.05,1,9,No,Active
VP00644,V008,P0374,863078.52,1,19,Yes,Active
VP00645,V007,P0375,765353.58,1,14,Yes,Active
VP00646,V005,P0375,685993.55,1,9,No,Active
VP00647,V002,P0376,535.38,13,19,Yes,Active
VP00648,V001,P0376,578.06,2,27,No,Active
VP00649,V008,P0377,250687.83,1,20,Yes,Active
VP00650,V011,P0378,26.52,30,8,Yes,Active
VP00651,V001,P0378,23.84,29,29,No,Active
VP00652,V004,P0379,16.01,3,28,No,Active
VP00653,V007,P0379,18.47,29,24,Yes,Active
VP00654,V001,P0380,268.9,28,17,Yes,Active
VP00655,V002,P0380,261.37,7,25,No,Active
VP00656,V012,P0381,216.39,10,12,Yes,Active
VP00657,V004,P0382,94.51,18,17,No,Active
VP00658,V003,P0382,90.14,24,11,Yes,Active
VP00659,V003,P0383,27.63,12,8,Yes,Active
VP00660,V004,P0383,25.83,8,9,No,Active
VP00661,V005,P0384,188291.97,1,17,No,Active
VP00662,V006,P0384,161638.46,1,15,Yes,Active
VP00663,V003,P0385,13.54,13,20,Yes,Active
VP00664,V004,P0385,13.16,19,28,No,Active
VP00665,V009,P0386,384.7,23,9,Yes,Active
VP00666,V009,P0387,483.25,26,27,Yes,Active
VP00667,V011,P0388,28.25,4,9,Yes,Active
VP00668,V005,P0389,72733.18,1,15,Yes,Active
VP00669,V004,P0390,52.04,15,24,Yes,Active
VP00670,V005,P0391,227948.34,1,9,No,Active
VP00671,V006,P0391,237849.4,1,9,Yes,Active
VP00672,V008,P0391,247449.78,1,17,No,Active
VP00673,V004,P0392,6.65,25,9,No,Active
VP00674,V003,P0392,6.99,18,14,Yes,Active
VP00675,V002,P0393,1551.06,6,11,Yes,Active
VP00676,V001,P0393,1449.38,9,22,No,Active
VP00677,V010,P0394,10.89,14,16,Yes,Active
VP00678,V003,P0395,68.45,8,30,No,Active
VP00679,V004,P0395,72.77,20,26,Yes,Active
VP00680,V002,P0396,1199.73,1,19,Yes,Active
VP00681,V004,P0397,16.28,11,21,No,Active
VP00682,V003,P0397,15.1,27,27,Yes,Active
VP00683,V002,P0398,580.33,23,13,No,Active
VP00684,V001,P0398,595.68,6,19,Yes,Active
VP00685,V009,P0399,434.36,26,14,Yes,Active
VP00686,V012,P0400,100.44,13,18,No,Active
VP00687,V004,P0400,89.55,19,13,Yes,Active
VP00688,V001,P0401,1290.37,18,7,Yes,Active
VP00689,V002,P0401,1345.51,15,29,No,Active
VP00690,V010,P0402,7.59,3,20,Yes,Active
VP00691,V005,P0403,150638.74,1,14,Yes,Active
VP00692,V008,P0403,141536.96,1,11,No,Active
VP00693,V007,P0403,152597.06,1,19,No,Active
VP00694,V005,P0404,114276.63,1,24,Yes,Active
VP00695,V007,P0405,16714897.98,1,18,No,Active
VP00696,V006,P0405,17140121.62,1,24,Yes,Active
VP00697,V008,P0405,16849942.03,1,9,No,Active
VP00698,V010,P0406,9.98,20,8,Yes,Active
VP00699,V010,P0407,14.25,11,20,Yes,Active
VP00700,V001,P0408,871.5,17,30,Yes,Active
VP00701,V001,P0409,284.49,13,21,Yes,Active
VP00702,V002,P0409,299.68,19,29,No,Active
VP00703,V009,P0410,591.57,16,10,Yes,Active
VP00704,V002,P0411,352.76,24,11,Yes,Active
VP00705,V001,P0411,366.93,11,21,No,Active
VP00706,V003,P0412,5.79,4,21,Yes,Active
VP00707,V009,P0413,347.0,10,8,Yes,Active
VP00708,V003,P0414,11.08,21,10,Yes,Active
VP00709,V004,P0414,10.79,6,30,No,Active
VP00710,V003,P0415,16.25,11,24,Yes,Active
VP00711,V004,P0416,106.51,21,12,Yes,Active
VP00712,V003,P0416,96.43,22,20,No,Active
VP00713,V005,P0417,196910.89,1,20,Yes,Active
VP00714,V008,P0417,194955.41,1,29,No,Active
VP00715,V003,P0418,15.12,26,9,Yes,Active
VP00716,V002,P0419,1433.51,7,21,Yes,Active
VP00717,V001,P0419,1373.67,22,22,No,Active
VP00718,V005,P0420,230604.2,1,26,No,Active
VP00719,V008,P0420,223077.95,1,10,Yes,Active
VP00720,V006,P0420,221435.23,1,21,No,Active
VP00721,V004,P0421,48.09,19,9,No,Active
VP00722,V003,P0421,46.29,11,10,Yes,Active
VP00723,V006,P0422,14469048.8,1,29,Yes,Active
VP00724,V006,P0423,1182232.2,1,11,Yes,Active
VP00725,V010,P0424,51.61,21,24,No,Active
VP00726,V005,P0424,56.09,21,12,Yes,Active
VP00727,V010,P0425,50.19,6,17,No,Active
VP00728,V005,P0425,54.85,20,8,Yes,Active
VP00729,V002,P0426,709.42,27,19,No,Active
VP00730,V001,P0426,810.56,17,27,Yes,Active
VP00731,V002,P0427,441.97,27,21,No,Active
VP00732,V001,P0427,447.28,3,25,Yes,Active
VP00733,V007,P0428,102.34,9,14,Yes,Active
VP00734,V002,P0429,444.14,19,30,Yes,Active
VP00735,V001,P0429,443.57,16,24,No,Active
VP00736,V005,P0430,16482320.05,1,24,No,Active
VP00737,V007,P0430,18504024.99,1,18,No,Active
VP00738,V008,P0430,17702160.29,1,8,Yes,Active
VP00739,V008,P0431,11328123.52,1,20,No,Active
VP00740,V006,P0431,11104599.76,1,27,No,Active
VP00741,V007,P0431,12353688.62,1,16,Yes,Active
VP00742,V005,P0432,13927408.31,1,9,Yes,Active
VP00743,V002,P0433,717.64,24,25,Yes,Active
VP00744,V001,P0433,776.17,28,29,No,Active
VP00745,V006,P0434,68.9,5,13,No,Active
VP00746,V003,P0434,76.55,26,8,Yes,Active
VP00747,V002,P0435,829.53,6,17,No,Active
VP00748,V001,P0435,880.14,10,16,Yes,Active
VP00749,V007,P0436,13.93,25,20,Yes,Active
VP00750,V012,P0436,15.81,9,27,No,Active
VP00751,V002,P0437,20.33,23,17,Yes,Active
VP00752,V001,P0438,514.36,19,27,Yes,Active
VP00753,V007,P0439,185518.98,1,9,No,Active
VP00754,V008,P0439,193455.04,1,9,Yes,Active
VP00755,V004,P0440,15.85,29,18,No,Active
VP00756,V003,P0440,15.25,16,17,Yes,Active
VP00757,V012,P0441,49.17,15,27,Yes,Active
VP00758,V002,P0441,48.66,12,9,No,Active
VP00759,V004,P0442,112.54,27,13,Yes,Active
VP00760,V003,P0442,104.51,11,16,No,Active
VP00761,V001,P0443,287.36,16,17,Yes,Active
VP00762,V002,P0443,302.48,25,8,No,Active
VP00763,V003,P0444,83.85,30,12,Yes,Active
VP00764,V001,P0445,457.58,14,13,Yes,Active
VP00765,V002,P0445,457.84,30,11,No,Active
VP00766,V002,P0446,337.71,29,15,Yes,Active
VP00767,V001,P0446,297.38,12,15,No,Active
VP00768,V001,P0447,565.54,21,16,Yes,Active
VP00769,V009,P0448,460.68,3,29,Yes,Active
VP00770,V004,P0449,57.49,5,25,Yes,Active
VP00771,V010,P0450,6.83,23,17,Yes,Active
VP00772,V004,P0451,39.26,8,19,Yes,Active
VP00773,V009,P0452,305.58,12,16,Yes,Active
VP00774,V004,P0453,69.83,22,11,Yes,Active
VP00775,V009,P0454,518.59,6,21,Yes,Active
VP00776,V011,P0455,61.86,5,20,Yes,Active
VP00777,V012,P0455,61.74,15,13,No,Active
VP00778,V001,P0456,1290.22,19,30,Yes,Active
VP00779,V009,P0457,437.44,5,14,Yes,Active
VP00780,V002,P0458,566.79,20,26,Yes,Active
VP00781,V001,P0458,612.11,10,29,No,Active
VP00782,V008,P0459,14328251.03,1,26,Yes,Active
VP00783,V006,P0460,557990.52,1,27,No,Active
VP00784,V007,P0460,526935.5,1,14,No,Active
VP00785,V008,P0460,567489.58,1,10,Yes,Active
VP00786,V004,P0461,40.78,1,18,Yes,Active
VP00787,V008,P0462,162581.93,1,25,No,Active
VP00788,V007,P0462,151623.95,1,24,Yes,Active
VP00789,V003,P0463,31.32,25,9,No,Active
VP00790,V004,P0463,26.89,3,7,Yes,Active
VP00791,V003,P0464,13.51,26,19,Yes,Active
VP00792,V004,P0464,12.66,21,29,No,Active
VP00793,V010,P0465,7.62,3,27,Yes,Active
VP00794,V010,P0466,6.35,10,9,Yes,Active
VP00795,V003,P0467,12.99,13,25,Yes,Active
VP00796,V004,P0467,13.19,27,27,No,Active
VP00797,V005,P0468,4759251.48,1,20,Yes,Active
VP00798,V006,P0468,5093522.13,1,14,No,Active
VP00799,V007,P0468,4558378.37,1,9,No,Active
VP00800,V010,P0469,21.02,2,16,Yes,Active
VP00801,V003,P0470,30.98,23,11,Yes,Active
VP00802,V004,P0470,34.1,6,22,No,Active
VP00803,V007,P0471,184137.63,1,11,No,Active
VP00804,V008,P0471,202534.05,1,15,Yes,Active
VP00805,V004,P0472,96.78,14,15,Yes,Active
VP00806,V003,P0472,99.82,9,29,No,Active
VP00807,V007,P0473,128717.43,1,23,Yes,Active
VP00808,V005,P0473,125876.42,1,22,No,Active
VP00809,V006,P0473,136303.54,1,12,No,Active
VP00810,V008,P0474,947184.85,1,25,No,Active
VP00811,V006,P0474,932593.41,1,10,Yes,Active
VP00812,V007,P0475,206463.27,1,7,Yes,Active
VP00813,V007,P0476,36.93,30,11,Yes,Active
VP00814,V004,P0477,57.88,8,20,Yes,Active
VP00815,V001,P0478,46.67,19,18,No,Active
VP00816,V012,P0478,41.59,22,8,Yes,Active
VP00817,V003,P0479,19.36,3,21,Yes,Active
VP00818,V004,P0480,99.49,15,7,No,Active
VP00819,V003,P0480,104.38,10,25,Yes,Active
VP00820,V010,P0481,21.5,19,22,Yes,Active
VP00821,V008,P0482,184.7,30,20,Yes,Active
VP00822,V001,P0483,431.56,23,7,Yes,Active
VP00823,V011,P0484,121.88,24,16,No,Active
VP00824,V006,P0484,107.94,17,14,Yes,Active
VP00825,V005,P0485,134510.18,1,11,Yes,Active
VP00826,V008,P0485,129224.23,1,9,No,Active
VP00827,V002,P0486,1122.26,12,21,Yes,Active
VP00828,V003,P0487,63.37,21,19,Yes,Active
VP00829,V004,P0487,58.95,19,8,No,Active
VP00830,V009,P0488,147.18,9,17,Yes,Active
VP00831,V010,P0489,11.19,9,14,Yes,Active
VP00832,V007,P0490,303361.7,1,25,Yes,Active
VP00833,V006,P0491,214546.98,1,21,Yes,Active
VP00834,V008,P0492,92716.74,1,13,Yes,Active
VP00835,V005,P0492,91460.99,1,21,No,Active
VP00836,V003,P0493,7.27,22,16,Yes,Active
VP00837,V004,P0493,8.1,23,26,No,Active
VP00838,V005,P0494,1444541.38,1,29,Yes,Active
VP00839,V003,P0495,68.1,22,16,Yes,Active
VP00840,V004,P0496,85.06,28,21,Yes,Active
VP00841,V003,P0496,79.97,18,14,No,Active
VP00842,V003,P0497,76.95,5,10,Yes,Active
VP00843,V002,P0498,829.06,27,19,Yes,Active
VP00844,V004,P0499,50.24,9,9,Yes,Active
VP00845,V003,P0499,45.74,3,13,No,Active
VP00846,V009,P0500,207.94,28,17,Yes,Active
